Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,1.0,1.0,0.375,0.3333333333333333,0.43600000000000005,0.4822,0.346,0.362,0.8775999999999999,0.7552,39.2,43.0,25.6,27.2,9.6,5.8,3.2,3.8,13.2,16.2,0.2,-1.8
W,3.0,1.0,1.0,0.6666666666666666,0.4768,0.46799999999999997,0.44139999999999996,0.4088,0.8151999999999999,0.8834,44.8,41.2,25.4,24.8,5.6,5.4,4.0,6.2,14.8,14.4,15.0,0.8
W,0.0,0.0,0.5,0.42857142857142855,0.46799999999999997,0.46699999999999997,0.4194,0.38739999999999997,0.8752000000000001,0.6758,46.0,46.8,25.0,28.6,8.4,6.4,4.2,4.6,14.6,15.0,6.4,-1.2
W,5.0,0.0,1.0,0.25,0.4638,0.44580000000000003,0.34940000000000004,0.3286,0.7282,0.8019999999999999,52.0,42.6,23.4,19.2,7.0,5.0,8.0,3.4,14.0,13.2,10.4,-7.6
L,0.0,0.0,0.5,0.5714285714285714,0.4822,0.48319999999999996,0.35960000000000003,0.3668,0.6816,0.7998000000000001,49.0,43.0,24.8,24.6,6.2,5.0,5.4,7.0,13.8,12.4,3.2,-5.2
L,1.0,0.0,1.0,0.5714285714285714,0.4852,0.4888,0.3734,0.3686,0.782,0.7138,45.6,40.4,21.2,21.2,7.0,7.0,5.2,4.6,17.0,15.4,4.4,-6.6
L,0.0,1.0,0.125,0.42857142857142855,0.41079999999999994,0.4484,0.3134,0.2914,0.7978,0.7041999999999999,45.6,43.8,18.8,21.0,8.0,6.2,4.8,7.0,16.4,16.6,-6.6,-11.6
W,1.0,2.0,0.5,0.75,0.48,0.46040000000000003,0.3516,0.34500000000000003,0.7712,0.7173999999999999,42.4,44.4,19.6,26.2,8.2,8.8,4.4,7.0,13.0,16.4,9.2,0.6
L,3.0,0.0,0.5714285714285714,0.5714285714285714,0.45620000000000005,0.4664,0.25880000000000003,0.4024,0.7926,0.6662,44.2,48.8,24.6,27.4,10.2,5.2,6.2,4.8,12.2,11.6,5.2,-0.8
W,0.0,0.0,0.125,0.375,0.45,0.4558,0.2888,0.3294,0.8172,0.8214,45.6,44.4,20.2,28.6,5.8,7.0,6.0,4.8,15.8,16.4,-4.2,-8.8
L,0.0,4.0,0.2222222222222222,1.0,0.4476,0.4478,0.3424,0.3792,0.8366,0.7958000000000001,41.4,45.4,20.4,23.8,5.2,6.0,3.8,3.8,14.8,13.4,-8.4,8.8
W,2.0,1.0,0.5714285714285714,0.625,0.48,0.47300000000000003,0.3222,0.3874,0.7112,0.7948000000000001,39.4,46.0,19.0,26.0,8.6,10.6,3.8,6.2,12.4,11.2,1.6,13.8
L,0.0,0.0,0.4444444444444444,0.42857142857142855,0.5084000000000001,0.45920000000000005,0.45519999999999994,0.331,0.7615999999999999,0.7043999999999999,37.0,49.4,26.6,23.6,8.4,6.0,3.6,6.0,13.8,14.8,2.8,-4.2
